position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee
Goalkeeper,31,1,Germany,Bundesliga,Borussia Dortmund,United States,Without League,St. Louis CITY SC,free transfer
Left Winger,20,1,Germany,2. Bundesliga,Hamburger SV,Germany,Bundesliga,Eintracht Frankfurt,free transfer
Attacking Midfield,22,1,France,Ligue 2,AC Le Havre,France,Ligue 1,Angers SCO,free transfer
Centre-Forward,34,1,Netherlands,Eredivisie,PSV Eindhoven,Israel,Ligat ha'Al,Maccabi Tel Aviv,free transfer
Right Winger,28,1,England,Championship,Preston North End,England,League One,Derby County,free transfer
Centre-Back,37,1,Italy,Serie A,Juventus FC,United States,MLS,Los Angeles FC,free transfer
Left Winger,27,1,England,Championship,Bristol City,Wales,Championship,Cardiff City,free transfer
Central Midfield,31,1,Wales,Championship,Cardiff City,England,League One,Portsmouth FC,free transfer
Right Winger,24,1,Poland,Ekstraklasa,Zaglebie Lubin,Turkey,Süper Lig,Istanbul Basaksehir FK,free transfer
Left Winger,29,1,Russia,Premier Liga,Spartak Moscow,Russia,Premier Liga,FK Khimki,free transfer
Central Midfield,33,1,Russia,Premier Liga,FK Krasnodar,Russia,Premier Liga,Ural Yekaterinburg,free transfer
Centre-Forward,26,1,Portugal,Liga Portugal,CS Marítimo,Portugal,Liga Portugal,Gil Vicente FC,free transfer
Central Midfield,31,1,Turkey,Süper Lig,Istanbul Basaksehir FK,Turkey,Süper Lig,Antalyaspor,free transfer
Centre-Forward,24,1,China,Super League,Beijing Guoan,Portugal,Liga Portugal,Vitória Guimarães SC,free transfer
Central Midfield,32,1,Russia,Premier Liga,CSKA Moscow,Russia,1.Division,Rubin Kazan,free transfer
Attacking Midfield,31,1,Belgium,Jupiler Pro League,KAA Gent,Cyprus,Protathlima Cyta,Omonia Nicosia,free transfer
Goalkeeper,33,1,Belgium,Jupiler Pro League,KAA Gent,Belgium,Jupiler Pro League,KVC Westerlo,free transfer
Right Winger,23,1,Turkey,1.Lig,Caykur Rizespor,Turkey,Süper Lig,Adana Demirspor,free transfer
Right Winger,25,1,Greece,Super League 1,Panathinaikos Athens,Turkey,Süper Lig,MKE Ankaragücü,free transfer
Right-Back,29,1,Austria,Bundesliga,Rapid Vienna,Austria,Bundesliga,LASK,free transfer
Right-Back,29,1,England,Premier League,West Ham United,England,Premier League,AFC Bournemouth,free transfer
Centre-Back,23,1,Poland,Ekstraklasa,Górnik Zabrze,Italy,Serie B,Venezia FC,free transfer
Goalkeeper,33,1,Turkey,Süper Lig,Hatayspor,Saudi Arabia,Professional League,Al-Wehda FC,free transfer
Left-Back,33,1,England,Premier League,Wolverhampton Wanderers,Brazil,Série A,Botafogo de Futebol e Regatas,free transfer
Attacking Midfield,31,1,France,Ligue 2,EA Guingamp,France,Ligue 1,AJ Auxerre,free transfer
Goalkeeper,26,1,Mexico,Liga MX Apertura,Deportivo Guadalajara,United States,MLS,Atlanta United FC,free transfer
Centre-Back,32,1,Germany,Bundesliga,SV Werder Bremen,Turkey,Süper Lig,Antalyaspor,free transfer
Centre-Forward,31,1,France,Ligue 1,FC Nantes,Serbia,Super liga Srbije,Red Star Belgrade,free transfer
Centre-Forward,23,1,Germany,Bundesliga,Eintracht Frankfurt,Germany,2. Bundesliga,SpVgg Greuther Fürth,loan transfer
Centre-Back,32,1,Wales,Championship,Cardiff City,England,Championship,Stoke City,free transfer
Central Midfield,29,1,Portugal,Liga Portugal,Gil Vicente FC,Turkey,Süper Lig,MKE Ankaragücü,?
Goalkeeper,31,1,Russia,Premier Liga,Zenit St. Petersburg,Portugal,Liga Portugal,Gil Vicente FC,free transfer
Centre-Back,31,1,Serbia,Super liga Srbije,FK Partizan Belgrade,Cyprus,Protathlima Cyta,Omonia Nicosia,free transfer
Goalkeeper,29,1,Italy,Serie A,US Lecce,Brazil,Série A,Coritiba Foot Ball Club,free transfer
Centre-Forward,25,1,France,Ligue 1,FC Nantes,Switzerland,Super League,FC Basel 1893,free transfer
Centre-Back,21,1,Germany,Bundesliga,RB Leipzig,Germany,2. Bundesliga,Arminia Bielefeld,loan transfer
Centre-Forward,36,1,France,Ligue 1,LOSC Lille,Netherlands,Eredivisie,Fortuna Sittard,free transfer
Left-Back,32,1,Mexico,Liga MX Apertura,Club Tijuana,Mexico,Liga MX Apertura,Deportivo Toluca,?
Central Midfield,24,1,Belgium,Jupiler Pro League,RSC Charleroi,Belgium,Jupiler Pro League,Royale Union Saint Gilloise,?
Centre-Back,30,1,France,Ligue 1,ESTAC Troyes,France,Ligue 2,AS Saint-Étienne,free transfer
Centre-Forward,32,1,Italy,Serie A,US Salernitana 1919,Italy,Serie A,Hellas Verona,free transfer
Right Winger,28,1,Mexico,Liga MX Apertura,Club Tijuana,Mexico,Liga MX Apertura,Mazatlán FC,free transfer
Centre-Forward,23,1,Russia,1.Division,Rubin Kazan,Russia,Premier Liga,Lokomotiv Moscow,free transfer
Defensive Midfield,37,1,England,Premier League,Manchester City,Brazil,Série A,Club Athletico Paranaense,free transfer
Centre-Forward,20,1,Croatia,SuperSport HNL,HNK Hajduk Split,Austria,Bundesliga,LASK,loan transfer
Attacking Midfield,27,1,England,Championship,Hull City,England,Championship,Millwall FC,?
Centre-Forward,33,1,Saudi Arabia,Professional League,Al-Fateh,Switzerland,Super League,FC Zürich,free transfer
Centre-Forward,19,1,Austria,Bundesliga,Red Bull Salzburg,Belgium,Jupiler Pro League,KVC Westerlo,loan transfer
Central Midfield,27,1,Turkey,Süper Lig,Adana Demirspor,Turkey,1.Lig,Eyüpspor,?
Central Midfield,24,1,Spain,LaLiga2,Granada CF,Portugal,Liga Portugal,Casa Pia AC,free transfer
Centre-Back,22,1,France,Ligue 1,Montpellier HSC,France,Ligue 1,AC Ajaccio,free transfer
Attacking Midfield,26,1,Czech Republic,Fortuna Liga,1.FC Slovacko,Czech Republic,Fortuna Liga,AC Sparta Prague,?
Attacking Midfield,31,1,Turkey,1.Lig,Altay SK,Chile,Primera División,CD Universidad Católica,free transfer
Left Winger,27,1,Mexico,Liga MX Apertura,Club Tijuana,Mexico,Liga MX Apertura,Querétaro FC,loan transfer
Central Midfield,22,1,England,Premier League,AFC Bournemouth,England,Championship,Stoke City,loan transfer
Left Winger,20,1,England,Premier League,Brighton & Hove Albion,Belgium,Jupiler Pro League,Royale Union Saint Gilloise,loan transfer
Left Winger,20,1,Italy,Serie A,US Sassuolo,Italy,Serie B,Frosinone Calcio,loan transfer
Attacking Midfield,29,1,Mexico,Liga MX Apertura,CD Cruz Azul,Brazil,Série A,Fortaleza Esporte Clube,free transfer
Centre-Back,33,1,Italy,Serie A,UC Sampdoria,Germany,Bundesliga,FC Schalke 04,free transfer
Right-Back,22,1,England,Premier League,Fulham FC,England,League One,Charlton Athletic,loan transfer
Goalkeeper,37,1,France,Ligue 1,Olympique Marseille,France,Ligue 1,Stade Rennais FC,free transfer
Right Winger,19,1,Croatia,SuperSport HNL,GNK Dinamo Zagreb,Slovenia,Prva Liga,NK Bravo,loan transfer
Centre-Forward,29,1,Saudi Arabia,Professional League,Al-Shabab Club (Riyadh),Japan,J1 League,Avispa Fukuoka,?
Left-Back,24,1,Italy,Serie A,US Sassuolo,Italy,Serie A,US Cremonese,?
Right-Back,23,1,Portugal,Liga Portugal,SC Braga,Spain,LaLiga2,UD Ibiza,loan transfer
Centre-Forward,25,1,Spain,LaLiga,FC Barcelona,England,Championship,Watford FC,free transfer
Left Winger,24,1,Spain,LaLiga,Athletic Bilbao,Spain,LaLiga2,Racing Santander,free transfer
Right-Back,31,1,Ukraine,Premier Liga,Zorya Lugansk,Poland,3 Liga - Group IV,Wieczysta Krakow,free transfer
Goalkeeper,28,1,Spain,LaLiga,Getafe CF,Spain,LaLiga2,Málaga CF,free transfer
Right-Back,28,1,Germany,Bundesliga,Bayer 04 Leverkusen,Germany,Bundesliga,SV Werder Bremen,free transfer
Attacking Midfield,20,1,Germany,Bundesliga,Bayern Munich,Scotland,Premiership,Rangers FC,loan transfer
Goalkeeper,35,1,France,Ligue 2,FC Girondins Bordeaux,France,Ligue 1,AJ Auxerre,free transfer
Centre-Forward,28,1,Italy,Serie A,Udinese Calcio,Turkey,Süper Lig,Giresunspor,free transfer
Centre-Back,26,1,Mexico,Liga MX Apertura,Deportivo Toluca,Colombia,Liga DIMAYOR II,Millonarios FC,free transfer
Left-Back,21,1,Mexico,Liga MX Apertura,CF Pachuca,Spain,LaLiga2,Real Oviedo,loan transfer
Centre-Forward,32,1,Spain,LaLiga2,SD Ponferradina,Spain,LaLiga2,Real Oviedo,free transfer
Right-Back,23,1,Spain,LaLiga,FC Barcelona,Croatia,SuperSport HNL,HNK Gorica,free transfer
Centre-Back,20,1,Italy,Serie A,Bologna FC 1909,Italy,Serie B,Como 1907,loan transfer
Centre-Forward,30,1,Italy,Serie A,AC Monza,Italy,Serie B,Modena FC,loan transfer
Centre-Forward,28,1,Portugal,Liga Portugal,Sporting CP,Japan,J1 League,FC Tokyo,loan transfer
Centre-Forward,24,1,Italy,Serie A,Udinese Calcio,Spain,LaLiga2,Sporting Gijón,loan transfer
Centre-Forward,21,1,France,Ligue 2,SM Caen,United States,MLS,Orlando City SC,free transfer
Attacking Midfield,18,1,England,Premier League 2,Arsenal FC U21,Spain,LaLiga2,Real Oviedo,loan transfer
Attacking Midfield,27,1,France,Ligue 2,Pau FC,France,Ligue 2,AS Saint-Étienne,free transfer
Right Winger,26,1,Saudi Arabia,Professional League,Al-Fayha FC,Serbia,Super liga Srbije,FK Cukaricki,free transfer
Left Winger,32,1,Spain,LaLiga,Atlético de Madrid,Spain,LaLiga2,UD Las Palmas,loan transfer
Centre-Forward,32,1,England,Premier League,Newcastle United,England,Championship,Stoke City,free transfer
Defensive Midfield,21,1,Spain,Primera Federación - Gr. II,FC Barcelona Atlètic,Andorra,LaLiga2,FC Andorra,free transfer
Goalkeeper,33,1,Egypt,Premier League,Zamalek SC,Egypt,Premier League,Bank El Ahly,free transfer
Left-Back,29,1,Mexico,Liga MX Apertura,CF América,Mexico,Liga MX Apertura,CD Cruz Azul,free transfer
Central Midfield,24,1,Italy,Serie A,SSC Napoli,Italy,Serie B,SSC Bari,loan transfer
Right Winger,21,1,Portugal,Liga Sabseg,SL Benfica B,Portugal,Liga Portugal,GD Estoril Praia,loan transfer
Goalkeeper,20,1,England,Premier League 2,Arsenal FC U21,England,League Two,Crewe Alexandra,loan transfer
Centre-Forward,25,1,Brazil,Série A,Clube Atlético Mineiro,Brazil,Série B,Club de Regatas Vasco da Gama,loan transfer
Defensive Midfield,29,1,Turkey,1.Lig,Altay SK,Saudi Arabia,Professional League,Al-Khaleej,free transfer
Left-Back,32,1,Spain,LaLiga,CA Osasuna,Spain,LaLiga2,Sporting Gijón,free transfer
Right-Back,26,1,Cyprus,Protathlima Cyta,Pafos FC,Brazil,Série B,Esporte Clube Bahia,loan transfer
Left Winger,23,1,Brazil,Série A,São Paulo Futebol Clube,Greece,Super League 1,Panathinaikos Athens,free transfer
Central Midfield,22,1,England,Premier League,Nottingham Forest,United States,MLS,Real Salt Lake City,loan transfer
Left Winger,21,1,France,Ligue 1,Olympique Lyon,France,Ligue 2,AS Saint-Étienne,free transfer
Right-Back,21,1,Spain,LaLiga,Celta de Vigo,Spain,LaLiga2,Villarreal CF B,loan transfer
Right-Back,24,1,Belgium,Jupiler Pro League,KV Oostende,United States,MLS,New York Red Bulls,loan transfer
Left-Back,23,1,Spain,LaLiga,Elche CF,Argentina,Liga Profesional,CA Rosario Central,loan transfer
Central Midfield,25,1,Spain,LaLiga,Real Valladolid CF,Spain,LaLiga,Cádiz CF,free transfer
Goalkeeper,32,1,Spain,LaLiga,Real Betis Balompié,England,Premier League,Leeds United,free transfer
Centre-Forward,28,1,United Arab Emirates,UAE Pro League,Khor Fakkan,Turkey,1.Lig,Samsunspor,?
Attacking Midfield,22,1,United States,MLS,Columbus Crew,Romania,SuperLiga,FC Rapid 1923,loan transfer
Right-Back,26,1,Italy,Serie A,US Lecce,Italy,Serie B,Pisa Sporting Club,?
Left Winger,29,1,United States,MLS,New England Revolution,Sweden,Allsvenskan,IFK Norrköping,free transfer
Central Midfield,28,1,Netherlands,Eredivisie,Feyenoord Rotterdam,Netherlands,Eredivisie,FC Emmen,loan transfer
Goalkeeper,35,1,Italy,Serie B,Genoa CFC,Italy,Serie A,SSC Napoli,free transfer
Centre-Forward,25,1,Italy,Serie B,Genoa CFC,Italy,Serie B,Ternana Calcio,loan transfer
Left-Back,25,1,Spain,LaLiga2,Granada CF,Portugal,Liga Portugal,Gil Vicente FC,free transfer
Centre-Back,23,1,England,Premier League 2,Manchester City U21,Brazil,Série A,São Paulo Futebol Clube,loan transfer
Defensive Midfield,20,1,Brazil,Série B,Grêmio Foot-Ball Porto Alegrense,Brazil,Série A,Avaí Futebol Clube (SC),loan transfer
Left Winger,29,1,Mexico,Liga MX Apertura,Club Tijuana,Argentina,Liga Profesional,Defensa y Justicia,loan transfer
Left Winger,29,1,Mexico,Liga MX Apertura,Club Tijuana,Argentina,Liga Profesional,Defensa y Justicia,loan transfer
Left Winger,22,1,Spain,LaLiga2,Sporting Gijón,Spain,LaLiga2,Burgos CF,loan transfer
Centre-Forward,19,1,England,Premier League 2,Manchester City U21,England,Championship,Stoke City,loan transfer
Central Midfield,26,1,Italy,Serie C - A,LR Vicenza,Italy,Serie B,SPAL,loan transfer
Left Winger,25,1,Denmark,Superligaen,FC Copenhagen,Portugal,Liga Portugal,GD Chaves,loan transfer
Centre-Forward,34,1,Portugal,Liga Portugal,Sporting CP,France,Ligue 1,Stade Brestois 29,free transfer
Central Midfield,32,1,France,Ligue 1,Olympique Marseille,Italy,Serie B,Genoa CFC,loan transfer
Attacking Midfield,19,1,France,N 3 - Corse-Méditer.,OGC Nice B,Switzerland,Challenge League,Neuchâtel Xamax FCS,?
Right Winger,23,1,Spain,LaLiga,RCD Mallorca,Spain,LaLiga2,Racing Santander,loan transfer
Attacking Midfield,27,1,Turkey,Süper Lig,Gaziantep FK,Turkey,1.Lig,Eyüpspor,free transfer
Right Winger,20,1,Spain,Segunda Federación - Gr. V,Atlético de Madrid B,Andorra,LaLiga2,FC Andorra,loan transfer
Left-Back,27,1,Monaco,Ligue 1,AS Monaco,Italy,Serie B,Cagliari Calcio,free transfer
Right Winger,21,1,Italy,Serie B,Genoa CFC,Italy,Serie A,Hellas Verona,loan transfer
Attacking Midfield,26,1,Croatia,SuperSport HNL,GNK Dinamo Zagreb,Slovenia,Prva Liga,NK Maribor,loan transfer
Centre-Back,29,1,England,Championship,Huddersfield Town,England,Championship,Reading FC,free transfer
Defensive Midfield,26,1,Italy,Serie A,Spezia Calcio,Brazil,Série A,Goiás Esporte Clube,free transfer
Left Winger,21,1,United States,MLS,FC Dallas,Hungary,NB I.,MOL Fehérvár FC,?
Defensive Midfield,23,1,Spain,LaLiga,Athletic Bilbao,Spain,LaLiga2,SD Eibar,loan transfer
Central Midfield,30,1,Italy,Serie C - C,FC Crotone,Italy,Serie B,Brescia Calcio,?
Right Winger,28,1,Italy,Serie B,Benevento Calcio,Italy,Serie B,Frosinone Calcio,?
Centre-Forward,33,1,Italy,Serie B,Genoa CFC,Saudi Arabia,Professional League,Abha Club,free transfer
Centre-Forward,31,1,Spain,LaLiga,Elche CF,China,Super League,Henan Songshan Longmen,free transfer
Left-Back,28,1,Belgium,Jupiler Pro League,KRC Genk,Norway,Eliteserien,Vålerenga Fotball,?
Attacking Midfield,21,1,England,Premier League,Leeds United,Spain,LaLiga2,UD Ibiza,loan transfer
Central Midfield,22,1,England,Premier League,Manchester City,France,Ligue 1,ESTAC Troyes,?
Left Winger,29,1,Saudi Arabia,Professional League,Ettifaq FC,Netherlands,Eredivisie,FC Utrecht,loan transfer
Centre-Forward,29,1,England,League One,Sheffield Wednesday,Cyprus,Protathlima Cyta,AEL Limassol,free transfer
Central Midfield,29,1,Turkey,Süper Lig,Istanbul Basaksehir FK,China,Super League,Changchun Yatai,free transfer
Centre-Forward,30,1,Italy,Serie A,US Salernitana 1919,Italy,Serie B,Benevento Calcio,loan transfer
Centre-Back,23,1,Germany,Bundesliga,1.FC Union Berlin,Germany,2. Bundesliga,FC Hansa Rostock,loan transfer
Centre-Forward,24,1,France,Ligue 2,Dijon FCO,Italy,Serie B,SSC Bari,?
Centre-Back,29,1,Italy,Serie A,ACF Fiorentina,Spain,LaLiga,RCD Mallorca,free transfer
Central Midfield,19,1,France,Ligue 2,Paris FC,France,Ligue 2,AC Le Havre,loan transfer
Centre-Back,33,1,England,Premier League,Newcastle United,Spain,LaLiga,Elche CF,free transfer
Centre-Back,28,1,England,Premier League,Fulham FC,France,Ligue 2,AC Le Havre,loan transfer
Centre-Forward,27,1,Spain,LaLiga2,Real Zaragoza,Spain,LaLiga,Real Valladolid CF,?
Attacking Midfield,20,1,Germany,Regionalliga Bayern,FC Bayern Munich II,Belgium,Jupiler Pro League,Royal Antwerp FC,1
Central Midfield,21,1,Turkey,Süper Lig,Sivasspor,Turkey,Süper Lig,Besiktas JK,1
Goalkeeper,29,1,Italy,Serie B,Brescia Calcio,Italy,Serie B,Venezia FC,1
Central Midfield,26,1,Italy,Serie C - C,FC Crotone,Italy,Serie B,Parma Calcio 1913,1
Goalkeeper,29,1,Romania,SuperLiga,Universitatea Craiova,Italy,Serie B,Palermo FC,0.5
Right Winger,26,1,Argentina,Liga Profesional,CA Banfield,Argentina,Liga Profesional,CA Colon,0.285
Goalkeeper,31,1,Italy,Serie B,Parma Calcio 1913,Italy,Serie A,US Salernitana 1919,free transfer
Right Midfield,25,1,Japan,J1 League,Cerezo Osaka,Belgium,Jupiler Pro League,KV Oostende,?
Centre-Back,35,1,Mexico,Liga MX Apertura,CD Cruz Azul,Paraguay,Primera División Clausura,Club Libertad Asunción,free transfer
Defensive Midfield,27,1,Italy,Serie B,Venezia FC,Israel,Ligat ha'Al,Maccabi Tel Aviv,free transfer
Centre-Forward,30,1,Turkey,Süper Lig,Gaziantep FK,Turkey,Süper Lig,Konyaspor,free transfer
Right-Back,26,1,Portugal,Liga Sabseg,SL Benfica B,Italy,Serie A,FC Empoli,free transfer
Central Midfield,24,1,Italy,Serie A,SS Lazio,Italy,Serie B,SPAL,?
Left Winger,26,1,Turkey,Süper Lig,Kasimpasa,Turkey,Süper Lig,Hatayspor,?
Central Midfield,30,1,Italy,Serie B,Cagliari Calcio,Italy,Serie B,Como 1907,free transfer
Centre-Forward,31,1,Kazakhstan,Premier Liga,Kairat Almaty,China,Super League,Cangzhou Mighty Lions,free transfer
Centre-Forward,28,1,Turkey,Süper Lig,Besiktas JK,Germany,Bundesliga,FC Schalke 04,free transfer
Right-Back,24,1,Italy,Serie A,US Sassuolo,Italy,Serie B,Ascoli Calcio,?
Centre-Back,29,1,Italy,Serie B,Benevento Calcio,Italy,Serie B,Pisa Sporting Club,?
Central Midfield,19,-,Portugal,Without League,FC Porto U19,Portugal,Without League,Sporting CP B,1
Centre-Forward,24,0.8,Austria,Bundesliga,LASK,Austria,Bundesliga,Austria Vienna,1
Centre-Back,25,1,Poland,Ekstraklasa,Legia Warszawa,France,Ligue 1,Clermont Foot 63,1
Central Midfield,24,0.8,Germany,2. Bundesliga,Fortuna Düsseldorf,Bulgaria,efbet Liga,Ludogorets Razgrad,1
Left Winger,18,0.275,Costa Rica,Primera División Apertura,CS Herediano,England,Championship,Sunderland AFC,1
Defensive Midfield,23,1,Croatia,SuperSport HNL,HNK Hajduk Split,Croatia,SuperSport HNL,NK Osijek,1
Right Winger,20,1,Germany,3. Liga,SG Dynamo Dresden,Germany,2. Bundesliga,Hamburger SV,1
Left Winger,26,1,Germany,2. Bundesliga,1.FC Heidenheim 1846,Germany,Bundesliga,FC Schalke 04,1
Defensive Midfield,26,1,France,Ligue 1,RC Strasbourg Alsace,Sweden,Allsvenskan,Malmö FF,1
Right-Back,27,1,Germany,Bundesliga,1. FC Köln,Italy,Serie A,Udinese Calcio,1
Central Midfield,22,1,Italy,Serie B,Cagliari Calcio,Italy,Serie B,Ascoli Calcio,0.8
Centre-Forward,25,1,Switzerland,Super League,FC St. Gallen 1879,Germany,2. Bundesliga,1.FC Nuremberg,0.7
Attacking Midfield,32,1,Belgium,Jupiler Pro League,Oud-Heverlee Leuven,Hungary,NB I.,Ferencvárosi TC,0.5
Attacking Midfield,27,1,Czech Republic,Fortuna Liga,FC Hradec Kralove,Czech Republic,Fortuna Liga,FC Viktoria Plzen,0.49
Right-Back,23,1,Romania,SuperLiga,FCV Farul Constanta,Romania,SuperLiga,FCSB,0.4
Defensive Midfield,28,1,Romania,Liga 2,Concordia Chiajna,Romania,SuperLiga,FC Rapid 1923,0.15
Right-Back,27,1,Belarus,Vysheyshaya Liga,BATE Borisov,Serbia,Super liga Srbije,FK Partizan Belgrade,0.1
Central Midfield,24,1,Romania,SuperLiga,FCV Farul Constanta,Romania,SuperLiga,FC Rapid 1923,0.1
Left Winger,24,1,Argentina,Liga Profesional,Club Atlético Independiente,Argentina,Liga Profesional,Defensa y Justicia,0.1
Left Winger,28,1,Brazil,Série B,Esporte Clube Bahia,Brazil,Série A,Goiás Esporte Clube,0.1
Goalkeeper,22,1,Poland,Ekstraklasa,Radomiak Radom,Cyprus,Protathlima Cyta,Pafos FC,0.05
Goalkeeper,21,1,Germany,Bundesliga,Hertha BSC,Germany,Bundesliga,Borussia Dortmund,free transfer
Left-Back,27,1,Germany,2. Bundesliga,SC Paderborn 07,Wales,Championship,Cardiff City,free transfer
Right-Back,29,1,Turkey,Süper Lig,Sivasspor,Turkey,Süper Lig,Konyaspor,free transfer
Right Winger,19,1,Germany,Bundesliga,1.FSV Mainz 05,Germany,2. Bundesliga,Karlsruher SC,loan transfer
Centre-Forward,27,1,France,Ligue 2,Valenciennes FC,France,Ligue 2,EA Guingamp,?
Centre-Back,29,1,Brazil,Série A,Club Athletico Paranaense,Argentina,Liga Profesional,Club Atlético Lanús,loan transfer
Left-Back,26,1,Bulgaria,efbet Liga,CSKA-Sofia,Greece,Super League 1,Aris Thessaloniki,free transfer
Centre-Forward,30,1,Belgium,Jupiler Pro League,KAA Gent,Belgium,Jupiler Pro League,Sint-Truidense VV,loan transfer
Left-Back,31,1,Brazil,Série A,Sport Club Internacional,Brazil,Série A,Avaí Futebol Clube (SC),free transfer
Centre-Forward,31,1,Italy,Serie A,FC Empoli,Italy,Serie B,SPAL,loan transfer
Goalkeeper,26,1,Belgium,Jupiler Pro League,Cercle Brugge ,Monaco,Ligue 1,AS Monaco,loan transfer
Goalkeeper,30,1,South Africa,DStv Premiership,SuperSport United,South Africa,DStv Premiership,Mamelodi Sundowns FC,?
Right-Back,20,1,Portugal,Liga Sabseg,FC Porto B,Italy,Serie B,Pisa Sporting Club,loan transfer
Attacking Midfield,33,1,Italy,Serie B,SPAL,Italy,Serie B,Cagliari Calcio,free transfer
Right-Back,26,1,Italy,Serie A,Spezia Calcio,Italy,Serie B,Como 1907,?
Defensive Midfield,30,1,Argentina,Liga Profesional,CA San Lorenzo de Almagro,Colombia,Liga DIMAYOR II,Junior FC,free transfer
Centre-Back,23,1,France,Ligue 2,Paris FC,Spain,LaLiga2,Sporting Gijón,?
Centre-Back,19,1,Germany,Bundesliga,Bayern Munich,Germany,2. Bundesliga,Hannover 96,loan transfer
Central Midfield,20,1,France,Ligue 2,AC Le Havre,France,Ligue 1,Stade Reims,?
Central Midfield,20,1,France,Ligue 1,Stade Reims,France,Ligue 2,AC Le Havre,loan transfer
Central Midfield,21,1,Italy,Serie A,Atalanta BC,Italy,Serie B,Como 1907,loan transfer
Centre-Forward,17,-,Germany,U19-BL S/SW,FC Augsburg U19,Germany,Bundesliga,VfL Wolfsburg,1
Attacking Midfield,22,0.45,Brazil,Série B,Grêmio Foot-Ball Porto Alegrense,Portugal,Liga Portugal,CD Santa Clara,1
Left Winger,30,1,Saudi Arabia,Professional League,Abha Club,Australia,A-League Men,Adelaide United,?
Centre-Forward,31,1,England,Premier League,Nottingham Forest,France,Ligue 1,AJ Auxerre,2
Central Midfield,23,1,Russia,1.Division,Arsenal Tula,Serbia,Super liga Srbije,Red Star Belgrade,1
Central Midfield,16,-,Denmark,Without League,FC Midtjylland Youth,Germany,U17-Bundesliga Süd/Südwest,FC Bayern Munich U17 ,1
Attacking Midfield,19,0.9,Czech Republic,Fortuna Liga,SK Sigma Olomouc,Czech Republic,Fortuna Liga,AC Sparta Prague,1
Centre-Back,24,0.8,Czech Republic,FNL,MFK Karvina,Czech Republic,Fortuna Liga,SK Slavia Prague,1
Left Winger,20,0.7,Bulgaria,efbet Liga,Botev Plovdiv,Russia,Premier Liga,FK Krasnodar,1
Centre-Forward,27,0.9,Hungary,NB I.,Paksi FC,"Korea, South",K League 1,Ulsan Hyundai,1
Right-Back,22,0.9,Norway,Eliteserien,Viking Stavanger,Denmark,Superligaen,Bröndby IF,1
Centre-Forward,25,1,Italy,Serie B,Frosinone Calcio,Italy,Serie B,Venezia FC,1
Defensive Midfield,24,1,Brazil,Série A,Clube de Regatas do Flamengo,Brazil,Série A,Club Athletico Paranaense,1
Left-Back,22,0.8,England,Premier League,Leeds United,England,League One,Ipswich Town,1
Left-Back,20,0.5,Norway,Eliteserien,Aalesunds FK,Netherlands,Eredivisie,FC Groningen,1
Centre-Forward,23,1,Turkey,1.Lig,Bandirmaspor,Turkey,Süper Lig,Istanbul Basaksehir FK,1
attack,17,-,England,Without League,Sheffield United U18,England,U18 Premier League,Tottenham Hotspur U18,1
Left Winger,28,1,Ecuador,Serie A Segunda Etapa,Barcelona SC Guayaquil,Brazil,Série A,América Futebol Clube (MG),1
Left Winger,23,1,Italy,Serie B,Genoa CFC,Italy,Serie B,Frosinone Calcio,1
Centre-Forward,26,1,France,Ligue 1,RC Lens,United States,MLS,Inter Miami CF,1
Centre-Forward,28,1,France,Ligue 1,FC Lorient,France,Ligue 2,Paris FC,1
Centre-Forward,24,1,Germany,3. Liga,SG Dynamo Dresden,Germany,2. Bundesliga,1.FC Nuremberg,1
Centre-Forward,26,1,Greece,Super League 1,Atromitos Athen,Austria,Bundesliga,LASK,1
Centre-Forward,25,1,Portugal,Liga Portugal,FC Arouca,Portugal,Liga Portugal,Vitória Guimarães SC,1
Centre-Back,26,1,Germany,2. Bundesliga,1.FC Nuremberg,Czech Republic,Fortuna Liga,AC Sparta Prague,1
Centre-Forward,25,1,Sweden,Allsvenskan,Hammarby IF,Israel,Ligat ha'Al,Hapoel Beer Sheva,1
Centre-Back,27,1,England,Championship,Queens Park Rangers,Germany,2. Bundesliga,Fortuna Düsseldorf,0.9
Centre-Back,21,1,Belgium,Jupiler Pro League,SV Zulte Waregem,Belgium,Jupiler Pro League,Oud-Heverlee Leuven,0.75
Central Midfield,24,1,Poland,Ekstraklasa,Górnik Zabrze,Denmark,Superligaen,Odense Boldklub,0.6
Attacking Midfield,25,1,Serbia,Super liga Srbije,FK Spartak Subotica,Bulgaria,efbet Liga,CSKA-Sofia,0.5
Left Midfield,21,1,Japan,J2 League,Albirex Niigata,Belgium,Challenger Pro League,Club NXT,0.5
Centre-Forward,27,1,Argentina,Liga Profesional,CA Huracán,Argentina,Liga Profesional,CA Rosario Central,0.48
Right Winger,28,1,United States,MLS,Los Angeles FC,United States,MLS,New England Revolution,0.364
Left-Back,23,1,Germany,Bundesliga,SV Werder Bremen,Germany,2. Bundesliga,1.FC Heidenheim 1846,0.35
Right Winger,27,1,Colombia,Liga DIMAYOR II,Deportivo Cali,Brazil,Série A,Ceará Sporting Club,0.3
Left-Back,20,1,Georgia,Crystalbet Erovnuli Liga,Dinamo Batumi,Serbia,Super liga Srbije,Red Star Belgrade,0.3
Central Midfield,29,1,Romania,SuperLiga,FC Voluntari,Romania,SuperLiga,FCSB,0.3
